FreqPCA,MagPCA,FreqX,MagX,FreqY,MagY,FreqZ,MagZ
0.0,1.0866783275287013e-16,0.0,0.5048123980424143,0.0,0.48073409461663946,0.0,0.41309951060358896
0.0004078303425774878,0.15650383087203257,0.0004078303425774878,0.11865992120246108,0.0004078303425774878,0.09394491264229694,0.0004078303425774878,0.051953630582758654
0.0008156606851549756,0.06828981134868137,0.0008156606851549756,0.06245565044564192,0.0008156606851549756,0.019347177264446395,0.0008156606851549756,0.029982856599157136
0.0012234910277324634,0.09727488086703868,0.0012234910277324634,0.07322726328623874,0.0012234910277324634,0.05904251969344407,0.0012234910277324634,0.032764996616211996
0.0016313213703099511,0.07716404512506954,0.0016313213703099511,0.05523806174375982,0.0016313213703099511,0.05385251707611654,0.0016313213703099511,0.03060958621503212
0.002039151712887439,0.042765725230869654,0.002039151712887439,0.027344581952989274,0.002039151712887439,0.03558201777920298,0.002039151712887439,0.021496399784044468
0.002446982055464927,0.017797993005473977,0.002446982055464927,0.017212961929048788,0.002446982055464927,0.005608144880405558,0.002446982055464927,0.014001306569009372
0.0028548123980424145,0.010828036643929527,0.0028548123980424145,0.018871028152181894,0.0028548123980424145,0.008950517123615345,0.0028548123980424145,0.019664366671424655
0.0032626427406199023,0.052309882957778046,0.0032626427406199023,0.051750927621806324,0.0032626427406199023,0.018624815741117184,0.0032626427406199023,0.0032615180920636104
0.00367047308319739,0.02115683338667851,0.00367047308319739,0.02822146805232009,0.00367047308319739,0.003202968980994083,0.00367047308319739,0.006562282274912285
0.004078303425774878,0.0719597939005435,0.004078303425774878,0.06050600916431311,0.004078303425774878,0.03868311115785465,0.004078303425774878,0.009187209491659317
0.004486133768352366,0.041435854555797756,0.004486133768352366,0.041741002235444705,0.004486133768352366,0.019632285269921352,0.004486133768352366,0.014649157342982999
0.004893964110929854,0.04033457857797018,0.004893964110929854,0.045073014637061704,0.004893964110929854,0.009107202727813943,0.004893964110929854,0.006615789780917809
