Freq,VibX,VibY,VibZ
0.0,3.005127,0.038574,1.005188
0.04977807776472094,0.0,0.0,0.0
0.09955615552944189,0.0,0.0,1.681599149084499e-17
0.14933423329416284,0.0,0.0,1.121988913494788e-17
0.19911231105888377,0.0,0.0,0.0
0.2488903888236047,0.0,0.0,6.674464944408617e-17
0.2986684665883257,0.0,0.0,0.0
0.3484465443530466,0.0,0.0,4.840328012689947e-18
0.39822462211776755,0.0,0.0,4.245789220253781e-18
0.4480026998824885,0.0,0.0,0.0
0.4977807776472094,5.4670642007708164e-17,4.2711439068522003e-19,2.7335321003854082e-17
0.5475588554119304,0.0,0.0,0.0
0.5973369331766514,0.0,0.0,2.8682814944296915e-18
0.6471150109413722,0.0,0.0,2.6586691431824e-18
0.6968930887060932,0.0,0.0,0.0
0.7466711664708141,3.721257930168771e-17,2.907232757944352e-19,1.8606289650843854e-17
0.7964492442355351,0.0,0.0,0.0
0.8462273220002561,0.0,0.0,2.074261169013534e-18
0.896005399764977,0.0,0.0,1.9705711845785143e-18
0.9457834775296979,0.0,0.0,0.0
0.9955615552944188,0.0,0.0,1.7763568394002502e-17
1.0453396330591398,0.0,0.0,0.0
1.0951177108238608,0.0,0.0,1.656487454334692e-18
1.1448957885885818,0.0,0.0,1.5966518937232595e-18
1.1946738663533027,0.0,0.0,0.0
1.2444519441180235,0.0,0.0,0.0
1.2942300218827445,0.0,0.0,0.0
1.3440080996474655,0.0,0.0,1.4076379950383205e-18
1.3937861774121865,0.0,0.0,1.3703655998264527e-18
1.4435642551769075,0.0,0.0,0.0
1.4933423329416282,0.0,0.0,1.2905987887374706e-17
1.5431204107063492,0.0,0.0,0.0
1.5928984884710702,0.0,0.0,1.2505625009179569e-18
1.6426765662357912,0.0,0.0,1.2267146357265438e-18
1.6924546440005122,0.0,0.0,0.0
1.742232721765233,1.8960756195539512e-17,1.4813090777765243e-19,9.480378097769756e-18
1.792010799529954,0.0,0.0,0.0
1.8417888772946749,0.0,0.0,1.150508875205879e-18
1.8915669550593959,0.0,0.0,1.1356329807608997e-18
1.9413450328241169,0.0,0.0,0.0
1.9911231105888376,1.7763568394002502e-17,1.3877787807814455e-19,8.881784197001251e-18
2.040901188353559,0.0,0.0,0.0
2.0906792661182796,0.0,0.0,1.0901333870808895e-18
2.1404573438830004,0.0,0.0,1.0819414967451308e-18
2.1902354216477216,0.0,0.0,0.0
2.2400134994124423,0.0,0.0,1.0571313946858965e-17
2.2897915771771635,0.0,0.0,0.0
2.3395696549418843,0.0,0.0,1.0605917859986143e-18
2.3893477327066055,0.0,0.0,1.0579725091867178e-18
2.4391258104713263,0.0,0.0,0.0
2.488903888236047,0.0,0.0,0.0
