VibX,VibY,VibZ
1.895352697095436,2.2679806362378985,2.2160027662517296
0.34958621614635654,0.3611591792261058,0.3566439234601013
0.2602347486996044,0.33817981058713137,0.25992849134816964
0.22387184595695409,0.3895896772797882,0.3033696018447352
0.24807968791167925,0.17287767141660845,0.15060509304533298
0.10111082597418201,0.07606374051968884,0.10057144066488856
0.04549248070384974,0.1126494777562601,0.04930031034463198
0.09455385307606297,0.04504973626725234,0.08535265227344799
0.10749927902217683,0.06680765603343762,0.039579477242774254
0.12556974400879373,0.14961579710853526,0.12869462900951148
0.022551719513259714,0.049421378323290396,0.13686767327298402
0.06532020374648645,0.14133732777386956,0.027240523464571814
0.016054350003240497,0.0551531717532711,0.12222050377194836
0.1168016265370879,0.01096265807635097,0.04324705355276339
0.1376093360870055,0.07328648659631591,0.10619516213173971
0.05436939884502392,0.09522194952702792,0.08070374150576705
0.0029325858395752367,0.09124350991601478,0.058451203256919375
0.02719624131043164,0.11115466219684415,0.08101384880587761
0.052946015752044044,0.06720914491709502,0.07224447190540559
0.041257106687401436,0.1829635870743461,0.06369490881665253
0.05389174798433205,0.01714422167929255,0.133662055592794
0.06493503053528839,0.004457819463146123,0.07120463127677057
0.06030801221777752,0.0861642686519544,0.03611537959685813
0.014453545205887866,0.1371343880886458,0.04530711560446565
0.08536718816872094,0.025359411445275485,0.05197471324762664
0.054645395273225435,0.08591032694737112,0.0024263524464543697
0.11804958963559922,0.059931372854878324,0.09405551759500602
0.1086561313669755,0.0539472829842915,0.09272234910466065
0.0011928732407516561,0.07607758445977389,0.10631081438284314
0.06980313134335926,0.03146899091989428,0.02652711853889595
0.07350245598772374,0.0045005503917332325,0.07619578392009368
0.07525190742677486,0.08904497345058997,0.05738833630682489
0.037283101401535415,0.14403676317757316,0.08677382455605151
0.07088716744237665,0.11820211110051923,0.04574448881492973
0.05319817268434548,0.06985427039912366,0.048855556904748965
0.04687308199611633,0.04550980062772334,0.07329637416258902
0.046219313778957494,0.11801923110308435,0.053097000086897654
0.045753226118497164,0.03596472240952958,0.041209318701480584
0.060633892179827086,0.09521348241152806,0.048492639509121346
0.0573340635642623,0.015350410275504461,0.06980991898565779
0.08756770211298003,0.017180630100134778,0.10976776148100088
