Freq,MagPCA,MagX,MagY,MagZ
0.0,1.2610314764343076e-16,1.4824505119453928,1.7810716723549491,1.809303754266212
0.00034129692832764505,1.0288214009129717,0.5493504787586037,0.6175316183998645,0.6242034634253284
0.0006825938566552901,0.4944026876311143,0.20183879163155205,0.3421343152450014,0.3011079869445217
0.0010238907849829352,0.07036436993330239,0.03769532560981168,0.10966342114267158,0.03862488198611407
0.0013651877133105802,0.22340204967819177,0.11952257825720419,0.17511040566878,0.09319031009172826
0.0017064846416382253,0.3083607077266504,0.10226640951628786,0.20122935841849043,0.2182497013736037
0.0020477815699658703,0.06773151818365038,0.04334344623750139,0.0452536864246517,0.05913582925994517
0.002389078498293515,0.2067197623278071,0.05862188364332674,0.17076581398325902,0.1289304165510324
0.0027303754266211604,0.13150099167468665,0.12444092161176479,0.06645334844461963,0.07211123851684814
0.0030716723549488057,0.052520516492320105,0.05428940757193637,0.043292324405803086,0.014828937046962393
0.0034129692832764505,0.1858746409122748,0.11453049527899674,0.1283303633234525,0.08640863870773959
0.0037542662116040954,0.014071374377812272,0.06317362821608,0.05049809438856641,0.07723524558902779
0.004095563139931741,0.044414797762957293,0.00450507317295496,0.05496850918256163,0.051892142109951946
0.004436860068259386,0.05218701677374912,0.038373900848776045,0.023850830518196184,0.06744084478084492
0.00477815699658703,0.019710864081702025,0.02978493962357031,0.019147079615199545,0.014045610803710838
0.005119453924914676,0.048734189886759496,0.03319752656157135,0.06637242967127598,0.011974603517555612
0.005460750853242321,0.03651767314837489,0.02296461869296697,0.04389812151852036,0.0038219386474300406
0.005802047781569966,0.12463436378274646,0.03928800164794418,0.09995167521555239,0.08930762825742743
0.006143344709897611,0.04565835924677023,0.036110618028147384,0.04220244846805061,0.05275655657056544
0.006484641638225256,0.12104431121938083,0.06851825117662638,0.1115859852942658,0.05213000492392431
0.006825938566552901,0.015765942032226917,0.028451397345638427,0.04748036777612392,0.04590017272677581
0.007167235494880546,0.03233614234826363,0.022563258370996195,0.017703809914145878,0.048661638931471185
0.007508532423208191,0.06390451824397929,0.024234108364652902,0.07110183224058783,0.042276285759132094
0.007849829351535836,0.023210211851245312,0.03100077251708263,0.07555483270591265,0.03014769127248737
0.008191126279863481,0.040659587531735014,0.03144534287911643,0.04246623628677971,0.05961239474888569
0.008532423208191127,0.0678980722241233,0.04226826718614869,0.029360715669856326,0.057467152023267985
0.008873720136518772,0.023256253679060167,0.030776341171546446,0.027898467334982337,0.050214216882222606
0.009215017064846417,0.014909884325782927,0.01713239351508388,0.019220142610047147,0.022943266738141316
0.00955631399317406,0.10418529820006726,0.07393835028103327,0.03544961722045747,0.08977566659417516
0.009897610921501706,0.036377394895906634,0.03881800990574953,0.030673501234597216,0.07002480669667369
0.010238907849829351,0.07399547962379928,0.024112032880884964,0.05020631051622694,0.05664413717373904
0.010580204778156996,0.07619028635901966,0.036026169421553456,0.10748584841614543,0.0033728640340989673
0.010921501706484642,0.03393984908488716,0.014624563369597733,0.044430598517203525,0.06880633172065434
0.011262798634812287,0.0325955885599858,0.02495161331128481,0.04575784132790866,0.0056269402019175655
0.011604095563139932,0.0695466994546552,0.0279364178868325,0.03390425277810779,0.07909208673978664
0.011945392491467578,0.033403769982879486,0.037226820250463255,0.010569772581652447,0.029743464000537262
0.012286689419795223,0.04575579609613374,0.029003516998254188,0.05355476734946862,0.008514191632027537
0.012627986348122866,0.012178596108877933,0.021031483085591756,0.05043105704657981,0.01826629537657395
0.012969283276450512,0.08794233366440572,0.05218401014303903,0.07372274001607398,0.04427275622796717
0.013310580204778157,0.0746495526891497,0.052202290714557134,0.08729335917288548,0.019838250735187146
